player_id,player_name,season,cap_hit,cap_pct,contract_type,sign_status,sign_age,position,draft_year,draft_round
8474590,John Carlson,2018,8000000.0,10.1,STD,UFA,28,D,2008.0,1.0
8477401,John Hayden,2018,750000.0,0.9,STD,RFA,23,C,2013.0,3.0
8475750,Jon Merrill,2018,1375000.0,1.7,STD,RFA,25,D,2010.0,2.0
8480247,Jonathan Davidsson,2018,768333.0,1.0,ELC,,21,RW,2017.0,6.0
8476539,Jonathan Marchessault,2018,5000000.0,6.3,STD,UFA,27,LW,,
8480913,Jordan Gross,2018,925000.0,1.2,ELC,,22,D,,
8475224,Jordan Szwarz,2018,650000.0,0.8,STD,UFA,26,RW,2009.0,4.0
8476981,Josh Anderson,2018,765000.0,1.0,ELC,,19,D,2016.0,3.0
8474573,Josh Bailey,2018,5000000.0,6.3,STD,UFA,28,RW,2008.0,1.0
8477384,Josh Brown,2018,675000.0,0.8,STD,RFA,24,D,2013.0,6.0
8476410,Josh Leivo,2018,925000.0,1.2,STD,RFA,24,LW,2011.0,3.0
8476312,Josh Manson,2018,4100000.0,5.2,STD,RFA,25,D,2011.0,6.0
8480945,Juuso Riikola,2018,925000.0,1.2,ELC,,24,D,,
8478039,Kaapo Kahkonen,2018,767500.0,1.0,ELC,,21,G,2014.0,4.0
8480901,Karson Kuhlman,2018,750000.0,0.9,ELC,,22,C,,
8479288,Kasimir Kaskisuo,2018,675000.0,0.8,STD,RFA,24,G,,
8476397,Keegan Lowe,2018,675000.0,0.8,STD,RFA,25,D,2011.0,3.0
8479294,Kevin Boyle,2018,675000.0,0.8,STD,RFA,26,G,,
8475246,Kevin Connauton,2018,1375000.0,1.7,STD,UFA,28,D,2009.0,3.0
8477814,Kevin Czuczman,2018,650000.0,0.8,STD,UFA,27,D,,
8480947,Kevin Lankinen,2018,925000.0,1.2,ELC,,23,G,,
8480748,Kiefer Sherwood,2018,925000.0,1.2,ELC,,22,C,,
8479986,Kole Lind,2018,891666.0,1.1,ELC,,19,RW,2017.0,2.0
8476415,Kyle Rau,2018,700000.0,0.9,STD,UFA,25,C,2011.0,3.0
8474068,Kyle Turris,2018,6000000.0,7.5,STD,UFA,28,C,2007.0,1.0
8474189,Lars Eller,2018,3500000.0,4.4,STD,UFA,28,C,2007.0,1.0
8480935,Lawrence Pilut,2018,925000.0,1.2,ELC,,22,D,,
8475839,Louis Domingue,2018,1150000.0,1.4,STD,RFA,26,G,2010.0,5.0
8479523,Lucas Carlsson,2018,792500.0,1.0,ELC,,20,D,2016.0,4.0
8480780,Lukas Radil,2018,750000.0,0.9,STD,,27,LW,,
8478838,Lukas Vejdemo,2018,792500.0,1.0,ELC,,22,C,2015.0,3.0
8475175,Magnus Paajarvi,2018,900000.0,1.1,STD,UFA,27,LW,2009.0,1.0
8480201,Maksim Sushko,2018,776666.0,1.0,ELC,,19,RW,2017.0,4.0
8471709,Marc-Edouard Vlasic,2018,7000000.0,8.8,STD,UFA,30,D,2005.0,2.0
8476992,Marek Mazanec,2018,650000.0,0.8,STD,,26,G,2012.0,6.0
8480226,Marian Studenic,2018,775833.0,1.0,ELC,,19,LW,2017.0,5.0
8474131,Mario Kempe,2018,700000.0,0.9,STD,UFA,29,C,2007.0,5.0
8475729,Mark Alt,2018,725000.0,0.9,STD,RFA,26,D,2010.0,2.0
8474717,Mark Barberio,2018,1450000.0,1.8,STD,UFA,28,D,2008.0,6.0
8474697,Mark Borowiecki,2018,1200000.0,1.5,STD,UFA,28,D,2008.0,5.0
8476440,Markus Granlund,2018,1475000.0,1.9,STD,RFA,25,C,2011.0,2.0
8478906,Markus Nutivaara,2018,2700000.0,3.4,STD,RFA,23,D,2015.0,7.0
8476924,Martin Frk,2018,1050000.0,1.3,STD,RFA,24,RW,2012.0,2.0
8474889,Martin Jones,2018,5750000.0,7.2,STD,UFA,27,G,,
8478975,Mason Marchment,2018,767500.0,1.0,ELC,,22,LW,,
8479972,Mason Shaw,2018,792500.0,1.0,ELC,,19,C,2017.0,4.0
8476988,Matt Benning,2018,1900000.0,2.4,STD,RFA,24,D,2012.0,6.0
8476891,Matt Grzelcyk,2018,1400000.0,1.8,STD,RFA,24,D,2012.0,3.0
8475625,Matt Irwin,2018,675000.0,0.8,STD,UFA,30,D,,
8480031,Max Comtois,2018,820000.0,1.0,ELC,,19,LW,2017.0,2.0
8477503,Max Domi,2018,3150000.0,4.0,STD,RFA,23,C,2013.0,1.0
8475739,Michael Bournival,2018,650000.0,0.8,STD,RFA,25,C,2010.0,3.0
8480022,Michael Dipietro,2018,811667.0,1.0,ELC,,18,G,2017.0,3.0
8479591,Michael Eyssimont,2018,833750.0,1.0,ELC,,21,C,2016.0,5.0
8476875,Michael Matheson,2018,4875000.0,6.1,STD,RFA,23,D,2012.0,1.0
8479543,Michael Pezzetta,2018,743333.0,0.9,ELC,,19,LW,2016.0,6.0
8479482,Michal Kempny,2018,2500000.0,3.1,STD,UFA,27,D,,
8474150,Mikael Backlund,2018,5350000.0,6.7,STD,UFA,28,C,2007.0,1.0
8471242,Mike Green,2018,5375000.0,6.8,STD,UFA,32,D,2004.0,1.0
8469459,Mikko Koivu,2018,5500000.0,6.9,STD,UFA,34,C,2001.0,1.0
8475156,Mikko Koskinen,2018,2500000.0,3.1,STD,,29,G,2009.0,2.0
8479987,Morgan Geekie,2018,763333.0,1.0,ELC,,19,C,2017.0,3.0
8471804,Nathan Gerbe,2018,675000.0,0.8,STD,UFA,30,C,2005.0,5.0
8475235,Nicolas Deslauriers,2018,950000.0,1.2,STD,UFA,26,LW,2009.0,3.0
8478373,Nikita Soshnikov,2018,800000.0,1.0,STD,RFA,24,RW,,
8478859,Niko Mikkola,2018,842500.0,1.1,ELC,,22,D,2015.0,5.0
8477940,Nikolaj Ehlers,2018,6000000.0,7.5,STD,RFA,21,LW,2014.0,1.0
8479393,Noah Gregor,2018,768333.0,1.0,ELC,,19,LW,2016.0,4.0
8480147,Oscar Fantenberg,2018,650000.0,0.8,STD,RFA,26,D,,
8479526,Otto Koivula,2018,786666.0,1.0,ELC,,19,C,2016.0,4.0
8480944,Par Lindholm,2018,925000.0,1.2,ELC,,26,C,,
8471887,Patric Hornqvist,2018,5300000.0,6.7,STD,UFA,31,RW,2005.0,7.0
8477887,Patrick Brown,2018,650000.0,0.8,STD,RFA,26,C,,
8479466,Patrick Russell,2018,700000.0,0.9,STD,RFA,25,RW,,
8476890,Patrick Sieloff,2018,700000.0,0.9,STD,RFA,24,D,2012.0,2.0
8480925,Pavel Francouz,2018,690000.0,0.9,ELC,,27,G,,
8475831,Philipp Grubauer,2018,3333333.0,4.2,STD,RFA,26,G,2010.0,4.0
