player_id,player_name,position,season,GP,WAR,WAR_82,goals,points,EV_O_GAR,EV_D_GAR,PP_GAR,PK_GAR,PEN_GAR,cap_hit,actual_cap_pct,salary_cap,pred_cap_pct,pred_market_value,surplus_pct,surplus_value,contract_type,sign_status
8476941,Connor Carrick,D,2018,33,0.07,0.17,4.0,12.0,0.23,0.08,-0.49,0.01,-0.57,1300000.0,1.6352201257861636,79500000,2.7134938778089417,2157227.6328581087,1.078273752022778,857227.6328581086,STD,RFA
8474717,Mark Barberio,D,2018,12,0.08,0.55,2.0,12.0,-1.3,-0.06,-0.0,0.05,0.03,1450000.0,1.8238993710691824,79500000,2.8892961731779945,2296990.4576765057,1.065396802108812,846990.4576765056,STD,UFA
8475188,Brayden McNabb,D,2018,81,0.31,0.31,5.0,15.0,16.06,-0.83,-0.06,-0.11,-3.28,2500000.0,3.1446540880503147,79500000,4.202727593477643,3341168.4368147263,1.0580735054273287,841168.4368147262,STD,UFA
8468674,Deryk Engelland,D,2018,74,0.28,0.31,5.0,23.0,8.36,-2.91,-0.08,-0.11,-0.75,2500000.0,3.1446540880503147,79500000,4.184460312425619,3326645.948378367,1.0398062243753046,826645.9483783671,STD,UFA
8475750,Jon Merrill,D,2018,57,0.08,0.12,1.0,3.0,9.83,4.44,-0.14,0.02,-2.36,1375000.0,1.729559748427673,79500000,2.7601670799629776,2194332.828570567,1.0306073315353046,819332.8285705672,STD,RFA
8476465,Ryan Murphy,D,2018,3,0.0,0.0,2.0,5.0,-0.29,-0.2,0.36,-0.0,0.01,650000.0,0.8176100628930818,79500000,1.762158777822453,1400916.2283688502,0.9445487149293712,750916.2283688501,STD,RFA
8474697,Mark Borowiecki,D,2018,53,0.12,0.19,3.0,11.0,-1.14,-1.91,-0.02,-0.04,-2.23,1200000.0,1.509433962264151,79500000,2.380314557186189,1892350.07296302,0.870880594922038,692350.0729630202,STD,UFA
8474098,Colton Sceviour,C,2018,59,0.2,0.28,11.0,24.0,-3.94,2.44,-0.05,0.07,1.32,1200000.0,1.509433962264151,79500000,2.375950398569108,1888880.5668624407,0.8665164363049569,688880.5668624408,STD,UFA
8478866,Dominik Simon,C,2018,71,0.04,0.05,4.0,12.0,-0.43,2.9,-0.54,0.0,1.02,750000.0,0.9433962264150944,79500000,1.8094044452421016,1438476.533967471,0.8660082188270073,688476.5339674708,STD,RFA
8474131,Mario Kempe,C,2018,52,0.06,0.09,2.0,4.0,-1.68,0.88,0.01,0.0,0.45,700000.0,0.8805031446540881,79500000,1.7408443790396841,1383971.2813365487,0.8603412343855961,683971.2813365489,STD,UFA
8475246,Kevin Connauton,D,2018,50,-0.11,-0.18,11.0,21.0,-3.38,-0.53,-0.09,0.05,-0.34,1375000.0,1.729559748427673,79500000,2.5735115266115045,2045941.6636561463,0.8439517781838315,670941.663656146,STD,UFA
8476476,Joe Morrow,D,2018,41,0.09,0.18,6.0,16.0,-0.69,-1.63,-0.02,0.0,-0.57,1000000.0,1.257861635220126,79500000,2.0766437714947834,1650931.798338353,0.8187821362746575,650931.7983383526,STD,RFA
