player_id,player_name,position,age,GP,curr_WAR,curr_WAR_82,age_next,curr_goals,curr_points,proj_WAR,proj_WAR_82,proj_WAR_lo,proj_WAR_hi,proj_Points,proj_Goals,proj_GP,proj_EV_O_GAR,proj_EV_D_GAR,proj_PP_GAR,proj_PK_GAR,war_delta
8482109,Alexis Lafreniere,L,25.0,66,1.7,2.11,26.0,,,1.1,1.1,0.07,2.13,41.16,17.98,65,0.09,-0.02,0.04,0.0,-0.5999999999999999
8477511,Anthony Mantha,R,32.0,66,1.79,2.22,33.0,4.0,7.0,1.1,1.12,0.07,2.13,43.84,18.51,62,0.07,-0.01,0.04,0.01,-0.69
8479345,Jakob Chychrun,D,28.0,66,1.53,1.9,29.0,20.0,47.0,1.1,1.14,0.07,2.13,51.21,13.95,63,0.02,0.05,-1.05,0.25,-0.42999999999999994
8480807,Mattias Samuelsson,D,26.0,64,1.42,1.82,27.0,4.0,14.0,1.1,1.11,0.07,2.13,27.5,6.94,66,0.03,0.03,-0.04,0.1,-0.31999999999999984
8476312,Josh Manson,D,35.0,65,1.56,1.97,36.0,1.0,15.0,1.09,1.11,0.06,2.12,23.24,6.18,60,0.0,0.04,-0.09,0.26,-0.47
8479987,Morgan Geekie,C,28.0,65,1.47,1.85,29.0,33.0,57.0,1.09,1.11,0.06,2.12,43.29,18.4,64,0.06,-0.02,-0.03,-0.0,-0.3799999999999999
8476885,Jacob Trouba,D,32.0,65,1.51,1.9,33.0,1.0,14.0,1.09,1.1,0.06,2.12,24.29,6.05,67,0.01,0.04,-0.18,-0.61,-0.41999999999999993
8477951,Nick Schmaltz,C,30.0,67,1.53,1.87,31.0,20.0,63.0,1.09,1.09,0.06,2.12,61.99,23.24,68,0.09,-0.01,-0.16,0.0,-0.43999999999999995
8477504,Josh Morrissey,D,31.0,60,1.35,1.84,32.0,14.0,62.0,1.07,1.06,0.03,2.1,45.23,12.01,62,0.02,0.03,-0.74,0.26,-0.28
8473533,Jordan Staal,C,38.0,63,1.81,2.36,39.0,13.0,36.0,1.07,1.09,0.03,2.1,26.05,11.9,67,0.07,0.01,-0.04,0.49,-0.74
8481596,Shane Pinto,C,26.0,55,1.23,1.83,27.0,21.0,37.0,1.07,1.08,0.04,2.1,36.74,15.17,66,0.07,-0.0,-0.02,-0.01,-0.15999999999999992
8484762,Beckett Sennecke,R,20.0,66,1.3,1.62,21.0,,,1.06,1.07,0.03,2.09,44.68,18.95,68,0.04,-0.02,-0.19,0.01,-0.24
8483516,Jimmy Snuggerud,R,22.0,54,1.14,1.73,23.0,1.0,4.0,1.06,1.06,0.03,2.09,32.69,14.25,64,0.04,-0.01,-0.12,-0.01,-0.07999999999999985
8483890,Braeden Bowman,R,23.0,51,1.08,1.74,24.0,,,1.06,1.07,0.03,2.09,28.84,12.52,62,0.05,-0.0,-0.14,-0.02,-0.020000000000000018
8478420,Mikko Rantanen,R,30.0,54,1.35,2.05,31.0,32.0,88.0,1.06,1.09,0.03,2.09,49.08,19.79,62,0.12,-0.03,0.68,0.07,-0.29000000000000004
8482259,Bobby McMann,C,30.0,61,1.38,1.86,31.0,20.0,34.0,1.06,1.06,0.02,2.09,26.29,12.62,62,0.05,-0.0,-0.1,-0.07,-0.31999999999999984
8478438,Thomas Novak,C,29.0,66,1.46,1.81,30.0,13.0,22.0,1.06,1.07,0.03,2.09,38.73,15.89,60,0.08,-0.02,-0.21,0.03,-0.3999999999999999
8475722,Jason Zucker,L,34.0,48,1.27,2.17,35.0,21.0,53.0,1.05,1.05,0.02,2.08,33.59,14.0,60,0.08,-0.01,0.33,0.01,-0.21999999999999997
8480865,Noah Dobson,D,26.0,65,1.37,1.73,27.0,10.0,39.0,1.04,1.04,0.01,2.07,38.31,10.11,64,0.03,0.04,-0.46,0.06,-0.33000000000000007
8478439,Travis Konecny,C,29.0,62,1.51,2.0,30.0,24.0,76.0,1.04,1.06,0.01,2.07,49.35,20.04,66,0.07,-0.01,0.33,0.01,-0.47
8476454,Ryan Nugent-Hopkins,C,33.0,57,1.32,1.9,34.0,20.0,49.0,1.04,1.06,0.01,2.08,42.33,16.96,66,0.06,0.0,0.29,0.02,-0.28
8477478,William Carrier,L,32.0,54,1.2,1.82,33.0,4.0,11.0,1.03,1.03,-0.0,2.06,13.38,7.0,56,0.03,-0.0,0.18,-0.08,-0.16999999999999993
8476468,J.T. Miller,C,33.0,52,1.34,2.11,34.0,22.0,70.0,1.02,1.03,-0.01,2.06,35.47,15.21,65,0.08,-0.01,0.37,-0.15,-0.32000000000000006
8478042,Viktor Arvidsson,L,33.0,54,1.26,1.91,34.0,15.0,27.0,1.02,1.04,-0.01,2.06,36.98,15.09,59,0.07,-0.01,-0.3,-0.0,-0.24
8480762,Eric Robinson,L,31.0,53,1.15,1.78,32.0,14.0,32.0,1.02,1.04,-0.01,2.05,16.54,7.77,58,0.05,0.0,-0.06,0.14,-0.1299999999999999
8479325,Charlie McAvoy,D,29.0,54,1.14,1.73,30.0,7.0,23.0,1.01,1.03,-0.02,2.04,37.34,10.03,61,0.04,0.05,-0.87,0.02,-0.1299999999999999
8482159,Tyson Foerster,R,24.0,21,0.43,1.68,25.0,25.0,43.0,1.01,1.02,-0.02,2.04,14.3,5.88,57,0.02,-0.01,-0.11,-0.06,0.5800000000000001
8471675,Sidney Crosby,C,39.0,56,1.5,2.2,40.0,33.0,91.0,1.01,1.03,-0.02,2.04,46.9,18.45,63,0.12,-0.02,0.51,-0.0,-0.49
8480802,Ryan McLeod,C,27.0,67,1.37,1.68,28.0,20.0,53.0,1.0,1.01,-0.03,2.03,48.24,18.84,67,0.06,-0.0,-0.2,-0.17,-0.3700000000000001
8481716,Dmitri Voronkov,L,26.0,62,1.29,1.71,27.0,23.0,47.0,1.0,1.01,-0.03,2.03,32.7,14.31,61,0.05,-0.01,-0.05,0.01,-0.29000000000000004
8477946,Dylan Larkin,C,30.0,63,1.31,1.71,31.0,30.0,70.0,0.99,1.0,-0.05,2.02,45.38,18.17,68,0.06,-0.01,0.02,0.03,-0.32000000000000006
8482475,Yegor Chinakhov,R,25.0,57,1.16,1.67,26.0,7.0,15.0,0.99,1.0,-0.05,2.02,24.61,11.3,60,0.04,-0.01,-0.02,0.05,-0.16999999999999993
8482476,Emil Heineman,L,25.0,67,1.4,1.71,26.0,10.0,18.0,0.99,1.0,-0.04,2.03,27.12,13.56,67,0.02,-0.01,-0.04,0.0,-0.4099999999999999
8476399,Blake Coleman,C,35.0,54,1.38,2.1,36.0,15.0,39.0,0.99,1.0,-0.04,2.02,26.66,11.63,64,0.06,0.01,-0.26,0.08,-0.3899999999999999
8480064,Josh Norris,C,27.0,29,0.59,1.67,28.0,21.0,35.0,0.98,0.99,-0.05,2.01,25.67,9.92,58,0.03,0.0,-0.13,-0.07,0.39
8475166,John Tavares,C,36.0,67,1.55,1.9,37.0,38.0,74.0,0.98,1.0,-0.05,2.01,47.61,19.35,64,0.06,-0.01,0.14,-0.01,-0.5700000000000001
8476392,Adam Lowry,C,33.0,53,1.15,1.78,34.0,16.0,34.0,0.98,0.99,-0.05,2.01,14.87,7.36,61,0.04,0.01,-0.02,0.02,-0.16999999999999993
8476921,Jordan Martinook,L,34.0,63,1.54,2.0,35.0,15.0,36.0,0.97,0.99,-0.06,2.0,22.45,10.06,64,0.07,0.01,-0.05,0.63,-0.5700000000000001
8478013,Jake Walman,D,30.0,38,0.79,1.7,31.0,7.0,40.0,0.97,0.99,-0.06,2.0,13.82,3.53,56,0.01,0.03,-0.16,-0.07,0.17999999999999994
8473994,Jamie Benn,L,37.0,44,1.14,2.12,38.0,16.0,49.0,0.97,0.96,-0.06,2.0,25.2,10.74,55,0.07,-0.02,-0.1,-0.02,-0.16999999999999993
8483425,Lian Bichsel,D,22.0,35,0.68,1.59,23.0,4.0,9.0,0.97,0.98,-0.06,2.0,6.86,2.03,54,-0.02,0.0,-0.12,-0.07,0.2899999999999999
8475184,Chris Kreider,L,35.0,60,1.49,2.04,36.0,22.0,30.0,0.97,0.98,-0.06,2.0,39.19,16.56,62,0.08,-0.01,0.04,-0.01,-0.52
8482659,Josh Doan,R,24.0,67,1.29,1.58,25.0,7.0,19.0,0.96,0.98,-0.07,1.99,46.1,19.02,65,0.04,-0.01,0.19,-0.0,-0.33000000000000007
8481580,Connor McMichael,C,25.0,64,1.27,1.63,26.0,26.0,57.0,0.96,0.97,-0.07,1.99,40.54,16.47,66,0.05,-0.01,-0.04,-0.0,-0.31000000000000005
