Player,Cap Hit,Term,Total,Date,Level,Cap %,POS,Sign Age,Sign Status,Sign Expiry,Structure,GM,Agent,Draft Year,Draft Round
Louis Domingue,"$775,000",1yr,$775k,10-Mar-24,STD,0.90%,G,32,UFA,UFA,1-Way,Chris Drury,Allan Walsh,2010,5
Gustav Grigals,"$775,000",1yr,$775k,9-Mar-24,STD,0.90%,G,25,,UFA,2-Way,Barry Trotz,,,
Joey Abate,"$775,000",1yr,$775k,9-Mar-24,STD,0.90%,LW,25,,UFA,2-Way,Don Sweeney,,,
Mark Jankowski,"$800,000",2yr,$1.60M,8-Mar-24,STD,0.90%,C,29,UFA,UFA,1-Way,Barry Trotz,Wade Arnott,2012,1
Dante Fabbro,"$2,500,000",1yr,$2.50M,8-Mar-24,STD,2.80%,D,25,RFA,UFA,1-Way,Barry Trotz,J.P. Barry,2016,1
Kevin Rooney,"$1,300,000",1yr,$1.30M,8-Mar-24,STD,1.50%,C,30,UFA,UFA,1-Way,Craig Conroy,Peter Fish,,
Jordan Eberle,"$4,750,000",2yr,$9.50M,8-Mar-24,STD,5.40%,RW,33,UFA,UFA,1-Way,Ron Francis,Craig Oster,2008,1
Parker Wotherspoon,"$800,000",1yr,$800k,8-Mar-24,STD,0.90%,D,26,UFA,UFA,1-Way,Don Sweeney,Kevin Epp,2015,4
Jeremy Hanzel,"$851,667",3yr,$2.56M,7-Mar-24,ELC,1%,D,21,,RFA,2-Way,Chris MacFarland,Gerry Johannson,2023,6
Jacob Moverare,"$775,000",2yr,$1.55M,7-Mar-24,STD,0.90%,D,25,UFA,UFA,1-Way,Rob Blake,Kevin Epp,2016,4
Connor Punnett,"$870,000",3yr,$2.61M,7-Mar-24,ELC,1%,D,20,,RFA,2-Way,Jim Nill,Ryan Barnes,,
Evan Cormier,"$775,000",1yr,$775k,7-Mar-24,STD,0.90%,G,26,UFA,UFA,2-Way,Bill Zito,Allain Roy,2016,4
Jonah Gadjovich,"$775,000",2yr,$1.55M,7-Mar-24,STD,0.90%,LW,25,RFA,UFA,1-Way,Bill Zito,Jason Harshaw,2017,2
Oskar Sundqvist,"$1,500,000",2yr,$3.00M,7-Mar-24,STD,1.70%,C,29,UFA,UFA,1-Way,Doug Armstrong,Claude Lemieux,2012,3
Gustav Forsling,"$5,750,000",8yr,$46.00M,7-Mar-24,STD,6.50%,D,27,UFA,UFA,1-Way,Bill Zito,Joakim Persson,2014,5
Jacob Ingham,"$775,000",1yr,$775k,6-Mar-24,STD,0.90%,G,23,UFA,UFA,2-Way,Rob Blake,Craig Oster,2018,6
Daniil Miromanov,"$1,250,000",2yr,$2.50M,6-Mar-24,STD,1.40%,D,26,UFA,UFA,1-Way,Craig Conroy,Daniel Milstein,,
Nick Seeler,"$2,700,000",4yr,$10.80M,6-Mar-24,STD,3.10%,D,30,UFA,UFA,1-Way,Daniel Briere,Pat Brisson,2011,5
Rasmus Sandin,"$4,600,000",5yr,$23.00M,6-Mar-24,STD,5.20%,D,23,RFA,UFA,1-Way,Brian MacLellan,Lewis Gross,2018,1
Zach Bogosian,"$1,250,000",2yr,$2.50M,5-Mar-24,STD,1.40%,D,33,UFA,UFA,1-Way,Bill Guerin,Darren Ferris,2008,1
Ivan Ivan,"$845,000",2yr,$1.69M,5-Mar-24,ELC,1%,C,21,,RFA,2-Way,Chris MacFarland,Allan Walsh,,
Max Comtois,"$775,000",1yr,$775k,4-Mar-24,STD,0.90%,LW,25,UFA,UFA,2-Way,Don Waddell,Allain Roy,2017,2
Aaron Dell,"$775,000",1yr,$775k,4-Mar-24,STD,0.90%,G,34,UFA,UFA,2-Way,Rob Blake,Ray (Raynold) Petkau,,
Denver Barkey,"$863,333",3yr,$2.59M,4-Mar-24,ELC,1%,C,18,,RFA,2-Way,Daniel Briere,Michael Curran,2023,3
Thomas Novak,"$3,500,000",3yr,$10.50M,4-Mar-24,STD,4%,C,26,UFA,UFA,1-Way,Barry Trotz,Ben Hankinson,2015,3
Jonathan Quick,"$1,275,000",1yr,$1.28M,3-Mar-24,STD,1.40%,G,38,UFA,UFA,1-Way,Chris Drury,Jordan Neumann & George Bazos,2005,3
Zac Funk,"$905,000",3yr,$2.72M,2-Mar-24,ELC,1%,LW,20,,RFA,2-Way,Brian MacLellan,Allain Roy,,
Gabriel Szturc,"$870,000",3yr,$2.61M,2-Mar-24,ELC,1%,C,20,,RFA,2-Way,Julien BriseBois,J.P. Barry,,
Mikael Diotte,"$950,000",3yr,$2.85M,2-Mar-24,ELC,1.10%,D,20,,RFA,2-Way,Tom Fitzgerald,Allain Roy,,
Austin Roest,"$845,000",3yr,$2.54M,2-Mar-24,ELC,1%,RW,20,,RFA,2-Way,Barry Trotz,Joe Oliver,2023,6
Sandis Vilmanis,"$855,000",3yr,$2.57M,2-Mar-24,ELC,1%,LW,20,,RFA,2-Way,Bill Zito,Peter Wallen,2022,5
Connor Mackey,"$775,000",2yr,$1.55M,2-Mar-24,STD,0.90%,D,27,UFA,UFA,2-Way,Chris Drury,Kevin Magnuson,,
Elias Pettersson,"$11,600,000",8yr,$92.80M,2-Mar-24,STD,13.20%,C,25,RFA,UFA,1-Way,Patrik Allvin,Pat Brisson,2017,1
Milo Roelens,"$870,000",3yr,$2.61M,1-Mar-24,ELC,1%,C,21,,RFA,2-Way,Julien BriseBois,Ian Pulver,,
Max McCue,"$858,333",3yr,$2.57M,1-Mar-24,ELC,1%,C,21,,RFA,2-Way,John Davidson,Joseph Resnick,2021,5
Marat Khusnutdinov,"$925,000",2yr,$1.85M,28-Feb-24,ELC,1.10%,C,21,,RFA,2-Way,Bill Guerin,J.P. Barry,2020,2
