Player,Cap Hit,Term,Total,Date,Level,Cap %,POS,Sign Age,Sign Status,Sign Expiry,Structure,GM,Agent,Draft Year,Draft Round
Dan Renouf,"$762,500",2yr,$1.53M,13-Jul-22,STD,0.90%,D,28,UFA,UFA,2-Way,Don Sweeney,Todd Reynolds,,
Calvin Pickard,"$762,500",2yr,$1.53M,13-Jul-22,STD,0.90%,G,30,UFA,UFA,2-Way,Ken Holland,Ritchie Winter,2010,2
Alex Stalock,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,G,34,UFA,UFA,1-Way,Kyle Davidson,Ben Hankinson,2005,4
Brett Seney,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,LW,26,UFA,UFA,2-Way,Kyle Davidson,Pete Rutili,2015,6
Vinni Lettieri,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,C,27,UFA,UFA,2-Way,Don Sweeney,Ben Hankinson,,
Eric Comrie,"$1,800,000",2yr,$3.60M,13-Jul-22,STD,2.20%,G,27,UFA,UFA,1-Way,Kevyn Adams,Ray (Raynold) Petkau,2013,2
A.J. Greer,"$762,500",2yr,$1.53M,13-Jul-22,STD,0.90%,LW,25,UFA,UFA,1-Way,Don Sweeney,Philippe Lecavalier,2015,2
Andrej Sustr,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,D,31,UFA,UFA,2-Way,Bill Guerin,Matt Keator,,
Steven Fogarty,"$762,500",2yr,$1.53M,13-Jul-22,STD,0.90%,C,29,UFA,UFA,2-Way,Bill Guerin,Neil Sheehy,2011,3
Brandon Baddock,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,LW,27,UFA,UFA,2-Way,Bill Guerin,Craig Oster,2014,6
Kale Clague,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,D,24,UFA,UFA,2-Way,Kevyn Adams,Judd Moldaver,2016,2
David Perron,"$4,750,000",2yr,$9.50M,13-Jul-22,STD,5.80%,LW,34,UFA,UFA,1-Way,Steve Yzerman,Allan Walsh,2007,1
Pheonix Copley,"$825,000",1yr,$825k,13-Jul-22,STD,1%,G,30,UFA,UFA,1-Way,Rob Blake,Gerry Johannson,,
Cooper Marody,"$762,500",2yr,$1.53M,13-Jul-22,STD,0.90%,C,25,UFA,UFA,2-Way,Chuck Fletcher,Brian & Scott Bartlett,2015,6
Andrew Poturalski,"$762,500",2yr,$1.53M,13-Jul-22,STD,0.90%,C,28,UFA,UFA,1-Way,Ron Francis,Brian & Scott Bartlett,,
Dennis Gilbert,"$762,500",2yr,$1.53M,13-Jul-22,STD,0.90%,D,25,UFA,UFA,1-Way,Brad Treliving,Brian & Scott Bartlett,2015,3
Josh Brown,"$1,275,000",2yr,$2.55M,13-Jul-22,STD,1.50%,D,28,UFA,UFA,1-Way,Bill Armstrong,Jason Harshaw,2013,6
Nic Petan,"$762,500",2yr,$1.53M,13-Jul-22,STD,0.90%,C,27,UFA,UFA,2-Way,Bill Guerin,Kevin Epp,2013,2
Roland McKeown,"$762,500",2yr,$1.53M,13-Jul-22,STD,0.90%,D,26,UFA,UFA,2-Way,David Poile,Judd Moldaver,2014,2
Alex Lyon,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,G,29,UFA,UFA,2-Way,Bill Zito,Pete Rutili,,
Dakota Joshua,"$825,000",2yr,$1.65M,13-Jul-22,STD,1%,LW,26,UFA,UFA,1-Way,Patrik Allvin,Richard Evans,2014,5
Mitchell Stephens,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,C,25,UFA,RFA,2-Way,Kent Hughes,Ian Pulver,2015,2
Greg McKegg,"$762,500",2yr,$1.53M,13-Jul-22,STD,0.90%,C,30,UFA,UFA,2-Way,Ken Holland,David Gagner,2010,3
Dominik Kubalik,"$2,500,000",2yr,$5.00M,13-Jul-22,STD,3%,LW,26,UFA,UFA,1-Way,Steve Yzerman,Jiri Hamal,2013,7
David Rittich,"$900,000",1yr,$900k,13-Jul-22,STD,1.10%,G,29,UFA,UFA,1-Way,Kevin Cheveldayoff,Craig Oster,,
Louis Domingue,"$775,000",2yr,$1.55M,13-Jul-22,STD,0.90%,G,30,UFA,UFA,1-Way,Chris Drury,Allan Walsh,2010,5
Marc Staal,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,D,35,UFA,UFA,1-Way,Bill Zito,Richard Curran,2005,1
Anthony Richard,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,C,25,UFA,UFA,2-Way,Kent Hughes,Philippe Lecavalier,2015,4
Madison Bowey,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,D,27,UFA,UFA,2-Way,Kent Hughes,,2013,2
Colin Blackwell,"$1,200,000",2yr,$2.40M,13-Jul-22,STD,1.50%,C,29,UFA,UFA,1-Way,Kyle Davidson,Peter Fish,2011,7
Erik Gustafsson,"$800,000",1yr,$800k,13-Jul-22,STD,1%,D,30,UFA,UFA,1-Way,Brian MacLellan,Peter Wallen,2012,4
Andre Burakovsky,"$5,500,000",5yr,$27.50M,13-Jul-22,STD,6.70%,LW,27,UFA,UFA,1-Way,Ron Francis,Kevin Epp,2013,1
Marco Kasper,"$886,666",3yr,$2.66M,13-Jul-22,ELC,1.10%,C,18,,RFA,2-Way,Steve Yzerman,Ian Pulver,2022,1
Ben Chiarot,"$4,750,000",4yr,$19.00M,13-Jul-22,STD,5.80%,D,31,UFA,UFA,1-Way,Steve Yzerman,Craig Oster,2009,4
Oskar Lindblom,"$2,500,000",2yr,$5.00M,13-Jul-22,STD,3%,LW,25,RFA,UFA,1-Way,Mike Grier,Kevin Epp,2014,5
Nick Cousins,"$1,100,000",2yr,$2.20M,13-Jul-22,STD,1.30%,C,28,UFA,UFA,1-Way,Bill Zito,Andy Scott,2011,3
Erik Gudbranson,"$4,000,000",4yr,$16.00M,13-Jul-22,STD,4.80%,D,30,UFA,UFA,1-Way,Jarmo Kekalainen,Patrick Morris,2010,1
Jan Rutta,"$2,750,000",3yr,$8.25M,13-Jul-22,STD,3.30%,D,31,UFA,UFA,1-Way,Ron Hextall,Allan Walsh,,
Artturi Lehkonen,"$4,500,000",5yr,$22.50M,13-Jul-22,STD,5.50%,LW,27,RFA,UFA,1-Way,Chris MacFarland,Mika Rautakallio,2013,2
Noel Acciari,"$1,250,000",1yr,$1.25M,13-Jul-22,STD,1.50%,C,30,UFA,UFA,1-Way,Doug Armstrong,Lewis Gross,,
Jeremy Davies,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,D,25,UFA,UFA,2-Way,Kevyn Adams,Ian Pulver,2016,7
Mason Marchment,"$4,500,000",4yr,$18.00M,13-Jul-22,STD,5.50%,LW,27,UFA,UFA,1-Way,Jim Nill,Paul Capizzano,,
Matt Irwin,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,D,34,UFA,UFA,2-Way,Brian MacLellan,Ian Pulver,,
Charlie Lindgren,"$1,100,000",3yr,$3.30M,13-Jul-22,STD,1.30%,G,28,UFA,UFA,1-Way,Brian MacLellan,Ben Hankinson,,
Laurent Dauphin,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,C,27,UFA,UFA,2-Way,Bill Armstrong,Dom De Blois,2013,2
Tobie Paquette-Bisson,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,D,25,,UFA,2-Way,Rob Blake,Allain Roy,,
Nick Bjugstad,"$900,000",1yr,$900k,13-Jul-22,STD,1.10%,C,29,UFA,UFA,1-Way,Bill Armstrong,Ben Hankinson,2010,1
Darcy Kuemper,"$5,250,000",5yr,$26.25M,13-Jul-22,STD,6.40%,G,32,UFA,UFA,1-Way,Brian MacLellan,Ben Hankinson,2009,6
Charles Hudon,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,LW,28,UFA,UFA,2-Way,Chris MacFarland,Allain Roy,2012,5
Nicolas Meloche,"$950,000",1yr,$950k,13-Jul-22,STD,1.20%,D,24,UFA,UFA,1-Way,Brad Treliving,Philippe Lecavalier,2015,2
Dustin Tokarski,"$775,000",1yr,$775k,13-Jul-22,STD,0.90%,G,32,UFA,UFA,1-Way,Ron Hextall,Jerry Buckley,2008,5
Brendan Lemieux,"$1,350,000",1yr,$1.35M,13-Jul-22,STD,1.60%,LW,26,UFA,UFA,1-Way,Rob Blake,Claude Lemieux,2014,2
Anthony Cirelli,"$6,250,000",8yr,$50.00M,13-Jul-22,STD,7.50%,C,24,RFA,UFA,1-Way,Julien BriseBois,Patrick Morris,2015,3
Erik Cernak,"$5,200,000",8yr,$41.60M,13-Jul-22,STD,6.20%,D,25,RFA,UFA,1-Way,Julien BriseBois,Craig Oster,2015,2
Thomas Greiss,"$1,250,000",1yr,$1.25M,13-Jul-22,STD,1.50%,G,36,UFA,UFA,1-Way,Doug Armstrong,Ray (Raynold) Petkau,2004,3
Mikhail Sergachev,"$8,500,000",8yr,$68.00M,13-Jul-22,STD,10.20%,D,24,RFA,UFA,1-Way,Julien BriseBois,Daniel Milstein,2016,1
Brett Kulak,"$2,750,000",4yr,$11.00M,13-Jul-22,STD,3.30%,D,28,UFA,UFA,1-Way,Ken Holland,Gerry Johannson,2012,4
Xavier Ouellet,"$762,500",2yr,$1.53M,13-Jul-22,STD,0.90%,D,28,UFA,UFA,2-Way,Ron Hextall,Ian Pulver,2011,2
Vladislav Namestnikov,"$2,500,000",1yr,$2.50M,13-Jul-22,STD,3%,C,29,UFA,UFA,1-Way,Julien BriseBois,Daniel Milstein,2011,1
Adam Gaudette,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,C,25,UFA,RFA,1-Way,Kyle Dubas,Matt Keator,2015,5
Collin Delia,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,G,28,UFA,UFA,1-Way,Patrik Allvin,Jerry Buckley,,
Frank Vatrano,"$3,650,000",3yr,$10.95M,13-Jul-22,STD,4.40%,C,28,UFA,UFA,1-Way,Pat Verbeek,Peter Fish,,
Colin White,"$1,200,000",1yr,$1.20M,13-Jul-22,STD,1.50%,C,25,UFA,UFA,1-Way,Bill Zito,Philippe Lecavalier,2015,1
Jaroslav Halak,"$1,500,000",1yr,$1.50M,13-Jul-22,STD,1.80%,G,37,UFA,UFA,1-Way,Chris Drury,Allan Walsh,2003,9
Olli Maatta,"$2,250,000",1yr,$2.25M,13-Jul-22,STD,2.70%,D,27,UFA,UFA,1-Way,Steve Yzerman,J.P. Barry,2012,1
Ilya Mikheyev,"$4,750,000",4yr,$19.00M,13-Jul-22,STD,5.80%,RW,27,UFA,UFA,1-Way,Patrik Allvin,Daniel Milstein,,
Ilya Lyubushkin,"$2,750,000",2yr,$5.50M,13-Jul-22,STD,3.30%,D,28,UFA,UFA,1-Way,Kevyn Adams,Craig Oster,,
Troy Stecher,"$1,250,000",1yr,$1.25M,13-Jul-22,STD,1.50%,D,28,UFA,UFA,1-Way,Bill Armstrong,Eustace King,,
Max Domi,"$3,000,000",1yr,$3.00M,13-Jul-22,STD,3.60%,C,27,UFA,UFA,1-Way,Kyle Davidson,Darren Ferris,2013,1
Andreas Athanasiou,"$3,000,000",1yr,$3.00M,13-Jul-22,STD,3.60%,C,27,UFA,UFA,1-Way,Kyle Davidson,Darren Ferris,2012,4
Nicolas Aube-Kubel,"$1,000,000",1yr,$1.00M,13-Jul-22,STD,1.20%,RW,26,UFA,UFA,1-Way,Kyle Dubas,Philippe Lecavalier,2014,2
Nick Leddy,"$4,000,000",4yr,$16.00M,13-Jul-22,STD,4.80%,D,31,UFA,UFA,1-Way,Doug Armstrong,Neil Sheehy,2009,1
Vincent Trocheck,"$5,625,000",7yr,$39.38M,13-Jul-22,STD,6.80%,C,29,UFA,UFA,1-Way,Chris Drury,Matthew Oates,2011,3
Wyatt Kalynuk,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,D,25,UFA,UFA,2-Way,Patrik Allvin,Daniel Milstein,2017,7
Andrew Copp,"$5,625,000",5yr,$28.13M,13-Jul-22,STD,6.80%,C,28,UFA,UFA,1-Way,Steve Yzerman,Kurt Overhardt,2013,4
Robert Thomas,"$8,125,000",8yr,$65.00M,13-Jul-22,STD,9.70%,C,23,RFA,UFA,1-Way,Doug Armstrong,Craig Oster,2017,1
Kevin Rooney,"$1,300,000",2yr,$2.60M,13-Jul-22,STD,1.60%,C,29,UFA,UFA,1-Way,Brad Treliving,Peter Fish,,
Curtis Lazar,"$1,000,000",3yr,$3.00M,13-Jul-22,STD,1.20%,C,27,UFA,UFA,1-Way,Patrik Allvin,J.P. Barry,2013,1
Brendan Smith,"$1,100,000",2yr,$2.20M,13-Jul-22,STD,1.30%,D,33,UFA,UFA,1-Way,Tom Fitzgerald,Matthew Oates,2007,1
Ian Cole,"$3,000,000",1yr,$3.00M,13-Jul-22,STD,3.60%,D,33,UFA,UFA,1-Way,Julien BriseBois,Kevin Magnuson,2007,1
Ilya Samsonov,"$1,800,000",1yr,$1.80M,13-Jul-22,STD,2.20%,G,25,UFA,RFA,1-Way,Kyle Dubas,Donald Meehan,2015,1
Claude Giroux,"$6,500,000",3yr,$19.50M,13-Jul-22,STD,7.90%,C,34,UFA,UFA,1-Way,Pierre Dorion,Pat Brisson,2006,1
Jack Campbell,"$5,000,000",5yr,$25.00M,13-Jul-22,STD,6.10%,G,30,UFA,UFA,1-Way,Ken Holland,Kurt Overhardt,2010,1
Victor Olofsson,"$4,750,000",2yr,$9.50M,13-Jul-22,STD,5.80%,LW,26,RFA,UFA,1-Way,Kevyn Adams,Claude Lemieux,2014,7
Josh Manson,"$4,500,000",4yr,$18.00M,13-Jul-22,STD,5.50%,D,30,UFA,UFA,1-Way,Chris MacFarland,Ross Gurney,2011,6
Darren Helm,"$1,250,000",1yr,$1.25M,13-Jul-22,STD,1.50%,C,35,UFA,UFA,1-Way,Chris MacFarland,Kevin Epp,2005,5
Alex Belzile,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,RW,30,UFA,UFA,2-Way,Kent Hughes,Allain Roy,,
Nate Schnarr,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,C,23,RFA,UFA,2-Way,Kent Hughes,Robert Hooper,2017,3
Joel Teasdale,"$750,000",1yr,$750k,13-Jul-22,STD,0.90%,LW,23,RFA,UFA,2-Way,Kent Hughes,Gregory Landry,,
Reilly Smith,"$5,000,000",3yr,$15.00M,13-Jul-22,STD,6.10%,RW,31,UFA,UFA,1-Way,Kelly McCrimmon,Paul Capizzano,2009,3
Andrei Kuzmenko,"$950,000",1yr,$950k,13-Jul-22,ELC,1.20%,LW,26,,UFA,2-Way,Patrik Allvin,Daniel Milstein,,
Evander Kane,"$5,125,000",4yr,$20.50M,12-Jul-22,STD,6.20%,LW,30,UFA,UFA,1-Way,Ken Holland,Daniel Milstein,2009,1
Evgeni Malkin,"$6,100,000",4yr,$24.40M,12-Jul-22,STD,7.40%,C,35,UFA,UFA,1-Way,Ron Hextall,J.P. Barry,2004,1
Malcolm Subban,"$850,000",1yr,$850k,12-Jul-22,STD,1%,G,28,UFA,UFA,2-Way,Kevyn Adams,Patrick Morris,2012,1
Alexander True,"$750,000",1yr,$750k,12-Jul-22,STD,0.90%,C,24,RFA,UFA,2-Way,Ron Francis,Claude Lemieux,,
Stefan Noesen,"$762,500",2yr,$1.53M,12-Jul-22,STD,0.90%,RW,29,UFA,UFA,Mixed,Don Waddell,Wade Arnott,2011,1
Pierre-Olivier Joseph,"$825,000",2yr,$1.65M,12-Jul-22,STD,1%,D,23,RFA,UFA,1-Way,Ron Hextall,Olivier Fortier,2017,1
Alexander Edler,"$750,000",1yr,$750k,12-Jul-22,STD,0.90%,D,36,UFA,UFA,1-Way,Rob Blake,Mark Stowe,2004,3
Vinnie Hinostroza,"$1,700,000",1yr,$1.70M,12-Jul-22,STD,2.10%,RW,28,UFA,UFA,1-Way,Kevyn Adams,Pete Rutili,2012,6
Hugh McGing,"$750,000",1yr,$750k,12-Jul-22,STD,0.90%,LW,24,RFA,RFA,2-Way,Doug Armstrong,Richard Evans,2018,5
Devin Cooley,"$787,500",1yr,$788k,12-Jul-22,STD,1%,G,25,RFA,UFA,2-Way,David Poile,Daniel Milstein,,
Rickard Rakell,"$5,000,000",6yr,$30.00M,11-Jul-22,STD,6.10%,C,29,UFA,UFA,1-Way,Ron Hextall,Claude Lemieux,2011,1
Karson Kuhlman,"$825,000",1yr,$825k,11-Jul-22,STD,1%,C,26,RFA,UFA,1-Way,Ron Francis,Thomas Lynn,,
Zane McIntyre,"$750,000",1yr,$750k,11-Jul-22,STD,0.90%,G,29,UFA,UFA,2-Way,Bill Guerin,Ray (Raynold) Petkau,2010,6
Libor Hajek,"$800,000",1yr,$800k,11-Jul-22,STD,1%,D,24,RFA,UFA,1-Way,Chris Drury,Craig Oster,2016,2
Jimmy Huntington,"$750,000",1yr,$750k,11-Jul-22,STD,0.90%,C,23,RFA,UFA,2-Way,David Poile,Paul Corbeil,,
Cam Dineen,"$750,000",1yr,$750k,11-Jul-22,STD,0.90%,D,24,UFA,UFA,2-Way,Bill Armstrong,Michael Curran,2016,3
Valeri Nichushkin,"$6,125,000",8yr,$49.00M,11-Jul-22,STD,7.40%,RW,27,UFA,UFA,1-Way,Chris MacFarland,Mark Gandler & Todd Diamond,2013,1
Christian Fischer,"$1,125,875",1yr,$1.13M,11-Jul-22,STD,1.40%,RW,25,UFA,UFA,1-Way,Bill Armstrong,Craig Oster,2015,2
Marian Studenic,"$750,000",1yr,$750k,11-Jul-22,STD,0.90%,LW,23,RFA,UFA,2-Way,Jim Nill,Allan Walsh,2017,5
Alexander Nylander,"$750,000",1yr,$750k,11-Jul-22,STD,0.90%,C,24,RFA,RFA,2-Way,Ron Hextall,Lewis Gross,2016,1
Michael Pezzetta,"$750,000",1yr,$750k,11-Jul-22,STD,0.90%,LW,24,RFA,RFA,1-Way,Kent Hughes,Paul Capizzano,2016,6
Lias Andersson,"$750,000",1yr,$750k,11-Jul-22,STD,0.90%,C,23,RFA,UFA,1-Way,Rob Blake,Jarrett Bousquet,2017,1
Carl Grundstrom,"$1,300,000",2yr,$2.60M,11-Jul-22,STD,1.60%,LW,24,RFA,RFA,1-Way,Rob Blake,J.P. Barry,2016,2
Corey Schueneman,"$750,000",1yr,$750k,11-Jul-22,STD,0.90%,D,26,RFA,UFA,2-Way,Kent Hughes,Richard Evans,,
Maxime Lagace,"$750,000",1yr,$750k,11-Jul-22,STD,0.90%,G,29,UFA,UFA,2-Way,Julien BriseBois,Allain Roy,,
Jacob Bryson,"$1,850,000",2yr,$3.70M,10-Jul-22,STD,2.20%,D,24,RFA,UFA,1-Way,Kevyn Adams,Allain Roy,2017,4
Jacob MacDonald,"$762,500",2yr,$1.53M,10-Jul-22,STD,0.90%,D,29,UFA,UFA,2-Way,Joe Sakic,Richard Evans,,
Alexandar Georgiev,"$3,400,000",3yr,$10.20M,10-Jul-22,STD,4.10%,G,26,RFA,UFA,1-Way,Joe Sakic,Gerry Johannson,,
Andy Andreoff,"$762,500",2yr,$1.53M,9-Jul-22,STD,0.90%,C,31,UFA,UFA,2-Way,Lou Lamoriello,Ian Pulver,2011,3
Sebastian Aho,"$825,000",2yr,$1.65M,9-Jul-22,STD,1%,D,26,UFA,UFA,1-Way,Lou Lamoriello,Claude Lemieux,2017,5
Robin Salo,"$800,000",2yr,$1.60M,9-Jul-22,STD,1%,D,23,RFA,UFA,1-Way,Lou Lamoriello,Lewis Gross,2017,2
Jeff Kubiak,"$750,000",1yr,$750k,9-Jul-22,STD,0.90%,C,28,,UFA,2-Way,Lou Lamoriello,,,
Otto Koivula,"$800,000",2yr,$1.60M,9-Jul-22,STD,1%,C,23,RFA,UFA,Mixed,Lou Lamoriello,Mark Gandler & Todd Diamond,2016,4
Grant Hutton,"$775,000",3yr,$2.33M,9-Jul-22,STD,0.90%,D,26,UFA,UFA,Mixed,Lou Lamoriello,Allain Roy,,
Ken Appleby,"$762,500",2yr,$1.53M,9-Jul-22,STD,0.90%,G,27,UFA,UFA,2-Way,Lou Lamoriello,Jason Harshaw,,
Filip Forsberg,"$8,500,000",8yr,$68.00M,9-Jul-22,STD,10.30%,C,27,UFA,UFA,1-Way,David Poile,J.P. Barry,2012,1
Lucas Johansen,"$762,500",2yr,$1.53M,8-Jul-22,STD,0.90%,D,24,RFA,UFA,Mixed,Brian MacLellan,Kurt Overhardt,2016,1
Adrian Kempe,"$5,500,000",4yr,$22.00M,8-Jul-22,STD,6.70%,C,25,RFA,UFA,1-Way,Rob Blake,J.P. Barry,2014,1
Tony DeAngelo,"$5,000,000",2yr,$10.00M,8-Jul-22,STD,6.10%,D,26,RFA,UFA,1-Way,Chuck Fletcher,Pat Brisson,2014,1
Lucas Carlsson,"$800,000",1yr,$800k,8-Jul-22,STD,1%,D,25,RFA,UFA,2-Way,Bill Zito,Peter Wallen,2016,4
Brandon Biro,"$762,500",2yr,$1.53M,8-Jul-22,STD,0.90%,C,24,RFA,UFA,2-Way,Kevyn Adams,Allain Roy,,
Eetu Luostarinen,"$1,500,000",2yr,$3.00M,8-Jul-22,STD,1.80%,C,23,RFA,RFA,1-Way,Bill Zito,Simo Niiranen,2017,2
Ville Husso,"$4,750,000",3yr,$14.25M,8-Jul-22,STD,5.80%,G,27,UFA,UFA,1-Way,Steve Yzerman,Mark Gandler & Todd Diamond,2014,4
Marc-Andre Fleury,"$3,500,000",2yr,$7.00M,7-Jul-22,STD,4.20%,G,37,UFA,UFA,1-Way,Bill Guerin,Allan Walsh,2003,1
Kris Letang,"$6,100,000",6yr,$36.60M,7-Jul-22,STD,7.40%,D,35,UFA,UFA,1-Way,Ron Hextall,Philippe Lecavalier,2005,3
Dillon Heatherington,"$762,500",2yr,$1.53M,7-Jul-22,STD,0.90%,D,27,UFA,UFA,2-Way,Pierre Dorion,J.P. Barry,2013,2
Jacob Middleton,"$2,450,000",3yr,$7.35M,6-Jul-22,STD,3%,D,26,RFA,UFA,1-Way,Bill Guerin,Joseph Resnick,2014,7
Adam Boqvist,"$2,600,000",3yr,$7.80M,6-Jul-22,STD,3.20%,D,21,RFA,UFA,1-Way,Jarmo Kekalainen,Peter Wallen,2018,1
Nick Wolff,"$750,000",1yr,$750k,5-Jul-22,STD,0.90%,D,25,RFA,UFA,2-Way,Don Sweeney,Thomas Lynn,,
Kyle Keyser,"$750,000",1yr,$750k,5-Jul-22,STD,0.90%,G,23,RFA,RFA,2-Way,Don Sweeney,Richard Evans,,
Andrew Cogliano,"$1,250,000",1yr,$1.25M,5-Jul-22,STD,1.50%,C,35,UFA,UFA,1-Way,Joe Sakic,Paul Capizzano,2005,1
Aleksi Heponiemi,"$750,000",1yr,$750k,5-Jul-22,STD,0.90%,C,23,RFA,RFA,2-Way,Bill Zito,Mark Gandler & Todd Diamond,2017,2
Casey DeSmith,"$1,800,000",2yr,$3.60M,5-Jul-22,STD,2.20%,G,30,UFA,UFA,1-Way,Ron Hextall,Jordan Neumann & George Bazos,,
Carson Meyer,"$750,000",1yr,$750k,2-Jul-22,STD,0.90%,RW,24,RFA,RFA,2-Way,Jarmo Kekalainen,Allain Roy,2017,6
Jack Rathbone,"$850,000",2yr,$1.70M,1-Jul-22,STD,1%,D,23,RFA,UFA,1-Way,Patrik Allvin,Jerry Buckley,2017,4
Julien Gauthier,"$800,000",1yr,$800k,1-Jul-22,STD,1%,RW,24,RFA,UFA,1-Way,Chris Drury,Allain Roy,2016,1
Brock Boeser,"$6,650,000",3yr,$19.95M,1-Jul-22,STD,8.10%,RW,25,RFA,UFA,1-Way,Patrik Allvin,Ben Hankinson,2015,1
Noah Juulsen,"$750,000",1yr,$750k,1-Jul-22,STD,0.90%,D,25,UFA,UFA,2-Way,Patrik Allvin,Jason Davidson & Blake Evans,2015,1
Frederic Allard,"$750,000",1yr,$750k,1-Jul-22,STD,0.90%,D,24,RFA,UFA,2-Way,Rob Blake,Dom De Blois,2016,3
William Lockwood,"$750,000",1yr,$750k,1-Jul-22,STD,0.90%,RW,24,RFA,UFA,2-Way,Patrik Allvin,Shawn Hunwick,2016,3
Joshua Dunne,"$874,125",1yr,$874k,1-Jul-22,STD,1.10%,C,23,RFA,RFA,2-Way,Jarmo Kekalainen,Todd Reynolds,,
Nick Paul,"$3,150,000",7yr,$22.05M,1-Jul-22,STD,3.80%,LW,27,UFA,UFA,1-Way,Julien BriseBois,Paul Capizzano,2013,4
Craig Anderson,"$1,500,000",1yr,$1.50M,30-Jun-22,STD,1.80%,G,41,UFA,UFA,1-Way,Kevyn Adams,Justin Duberman,1999,3
Craig Anderson,"$1,500,000",1yr,$1.50M,30-Jun-22,STD,1.80%,G,41,UFA,UFA,1-Way,Kevyn Adams,Justin Duberman,2001,3
Gustav Olofsson,"$750,000",1yr,$750k,30-Jun-22,STD,0.90%,D,27,UFA,UFA,2-Way,Ron Francis,Ben Hankinson,2013,2
Matt Villalta,"$787,500",1yr,$788k,30-Jun-22,STD,1%,G,23,RFA,UFA,2-Way,Rob Blake,Andy Scott,2017,3
Scott Wedgewood,"$1,000,000",2yr,$2.00M,30-Jun-22,STD,1.20%,G,29,UFA,UFA,1-Way,Jim Nill,Jordan Neumann & George Bazos,2010,3
Riley Tufte,"$750,000",1yr,$750k,30-Jun-22,STD,0.90%,LW,24,RFA,UFA,2-Way,Jim Nill,Ben Hankinson,2016,1
Sean Malone,"$750,000",1yr,$750k,29-Jun-22,STD,0.90%,C,27,UFA,UFA,2-Way,Kevyn Adams,Matt Keator,2013,6
Ryan Shea,"$750,000",1yr,$750k,29-Jun-22,STD,0.90%,D,25,RFA,UFA,2-Way,Jim Nill,Matt Keator,2015,4
Darren Raddysh,"$762,500",2yr,$1.53M,29-Jun-22,STD,0.90%,D,26,UFA,UFA,2-Way,Julien BriseBois,David Gagner,,
Kevin Fiala,"$7,875,000",7yr,$55.13M,29-Jun-22,STD,9.50%,C,25,RFA,UFA,1-Way,Rob Blake,Craig Oster,2014,1
Joseph Cecconi,"$750,000",1yr,$750k,28-Jun-22,STD,0.90%,D,25,UFA,UFA,2-Way,Jim Nill,Richard Evans,2015,5
John Stevens,"$750,000",1yr,$750k,27-Jun-22,STD,0.90%,C,28,UFA,UFA,2-Way,Patrik Allvin,Brian & Scott Bartlett,,
Sheldon Dries,"$762,500",2yr,$1.53M,27-Jun-22,STD,0.90%,C,28,UFA,UFA,2-Way,Patrik Allvin,Richard Evans,,
Guillaume Brisebois,"$750,000",1yr,$750k,27-Jun-22,STD,0.90%,D,24,RFA,UFA,2-Way,Patrik Allvin,,2015,3
Matt Kiersted,"$762,500",2yr,$1.53M,27-Jun-22,STD,0.90%,D,24,RFA,UFA,Mixed,Bill Zito,Neil Sheehy,,
Timothy Liljegren,"$1,400,000",2yr,$2.80M,27-Jun-22,STD,1.70%,D,23,RFA,RFA,1-Way,Kyle Dubas,Peter Wallen,2017,1
Cody Glass,"$874,125",1yr,$874k,24-Jun-22,STD,1.10%,C,23,RFA,RFA,2-Way,David Poile,Murray Koontz,2017,1
Victor Brattstrom,"$750,000",1yr,$750k,24-Jun-22,STD,0.90%,G,25,RFA,UFA,2-Way,Steve Yzerman,Craig Oster,2018,6
Felix Sandstrom,"$775,000",2yr,$1.55M,23-Jun-22,STD,0.90%,G,25,RFA,UFA,Mixed,Chuck Fletcher,,2015,3
Connor Dewar,"$800,000",2yr,$1.60M,23-Jun-22,STD,1%,C,22,RFA,RFA,1-Way,Bill Guerin,Tobin Wright,2018,3
Daniil Miromanov,"$762,500",2yr,$1.53M,21-Jun-22,STD,0.90%,D,24,RFA,UFA,Mixed,Kelly McCrimmon,Daniel Milstein,,
Simon Ryfors,"$750,000",1yr,$750k,20-Jun-22,STD,0.90%,C,24,RFA,RFA,2-Way,Julien BriseBois,Kurt Overhardt,,
