trade_id,year,team_1,team_2,side_1_assets,side_2_assets,side_1_value,side_2_value,imbalance,abs_imbalance,side_1_picks,side_1_players,side_2_picks,side_2_players
230,2022,Capitals,Devils,2,2,1546195.2164316922,2503642.0249423306,-957446.8085106383,957446.8085106383,1,1,2,0
231,2022,Hurricanes,Blackhawks,1,1,957446.8085106383,957446.8085106383,0.0,0.0,1,0,1,0
232,2022,Blues,Red Wings,1,1,0.0,957446.8085106383,-957446.8085106383,957446.8085106383,0,1,1,0
233,2022,Canadiens,Ducks,1,1,957446.8085106383,957446.8085106383,0.0,0.0,1,0,1,0
234,2022,Jets,"Blue 
Jackets",2,2,-2557453.2466119453,-906031.4111398186,-1651421.8354721267,1651421.8354721267,0,2,1,1
235,2022,Canucks,Jets,1,1,-1668073.5869036429,957446.8085106383,-2625520.395414281,2625520.395414281,0,1,1,0
236,2022,Golden Knights,Canucks,1,1,-1668073.5869036429,957446.8085106383,-2625520.395414281,2625520.395414281,0,1,1,0
237,2022,Blackhawks,Unknown,2,2,1300560.0765395144,2503642.0249423306,-1203081.9484028162,1203081.9484028162,1,1,2,0
238,2022,Predators,Kings,1,2,-537767.6090994169,2503642.0249423306,-3041409.6340417475,3041409.6340417475,0,1,2,0
239,2022,Kings,Penguins,1,0,-1040959.9840365833,0.0,-1040959.9840365833,1040959.9840365833,0,1,0,0
240,2022,Senators,Bruins,1,1,212563.5494368168,957446.8085106383,-744883.2590738215,744883.2590738215,0,1,1,0
241,2022,Flames,Maple Leafs,1,1,0.0,957446.8085106383,-957446.8085106383,957446.8085106383,0,1,1,0
242,2022,Bruins,Flames,1,1,0.0,957446.8085106383,-957446.8085106383,957446.8085106383,0,1,1,0
243,2022,Blackhawks,Oilers,1,1,0.0,1524362.049179729,-1524362.049179729,1524362.049179729,0,1,0,1
244,2022,Golden Knights,Rangers,1,1,-1046435.0675959605,957446.8085106383,-2003881.8761065989,2003881.8761065989,0,1,1,0
245,2022,Blue Jackets,Unknown,0,2,0.0,3285780.141843972,-3285780.141843972,3285780.141843972,0,0,2,0
246,2022,Rangers,Avalanche,1,3,0.0,2785684.523034454,-2785684.523034454,2785684.523034454,0,1,3,0
247,2022,Islanders,Canadiens,1,2,2328333.3333333335,583601.4174654172,1744731.9158679163,1744731.9158679163,1,0,1,1
248,2022,Jets,Nathan Smith to Coyotes,1,1,-730308.4697708052,1142273.4374999998,-1872581.907270805,1872581.907270805,0,1,1,0
249,2022,Hurricanes,Flyers,2,3,3458365.4875787743,3171886.070720852,286479.41685792245,286479.41685792245,1,1,3,0
250,2022,Lightning,Blackhawks,2,3,925452.0727983735,3538852.84796147,-2613400.7751630964,2613400.7751630964,0,2,2,1
251,2022,Devils,Islanders,2,3,844332.2923691457,3470606.770833333,-2626274.478464187,2626274.478464187,0,2,2,1
252,2022,Golden Knights,Jets,1,1,-485521.2884556738,1142273.4374999998,-1627794.7259556735,1627794.7259556735,0,1,1,0
253,2022,Red Wings,Golden Knights,1,1,988372.0930232557,1142273.4374999998,-153901.34447674407,153901.34447674407,1,0,1,0
254,2022,Kraken,Capitals,1,3,2028670.5626907349,2970233.5299155465,-941562.9672248117,941562.9672248117,0,1,2,1
255,2022,Blue Jackets,Unknown,0,2,0.0,3470606.770833333,-3470606.770833333,3470606.770833333,0,0,2,0
256,2022,Kraken,Flames,1,1,386040.8535135645,1142273.4374999998,-756232.5839864353,756232.5839864353,0,1,1,0
257,2022,Devils,Oilers,1,0,1088147.6029579348,0.0,1088147.6029579348,1088147.6029579348,0,1,0,0
258,2022,Panthers,Rangers,1,1,-2585820.5945085827,1142273.4374999998,-3728094.0320085827,3728094.0320085827,0,1,1,0
259,2022,Canadiens,Lightning,1,1,1142273.4374999998,1142273.4374999998,0.0,0.0,1,0,1,0
260,2022,Red Wings,Avalanche,1,1,-696946.0040528829,1142273.4374999998,-1839219.4415528825,1839219.4415528825,0,1,1,0
261,2022,Bruins,Kraken,1,2,957446.8085106383,2130645.5305232555,-1173198.7220126172,1173198.7220126172,1,0,2,0
262,2022,Sabres,Unknown,0,2,0.0,1411737.0419749143,-1411737.0419749143,1411737.0419749143,0,0,1,1
263,2022,Golden Knights,Unknown,3,3,3492014.1179655865,1618586.4918073653,1873427.6261582212,1873427.6261582212,3,0,1,2
264,2022,Golden Knights,Sabres,1,2,102687.38425778698,2534567.3094549477,-2431879.925197161,2431879.925197161,0,1,2,0
265,2022,Wild,Sharks,2,1,664605.9207996923,988372.0930232557,-323766.1722235634,323766.1722235634,1,1,1,0
266,2022,Devils,Blue Jackets,1,1,0.0,988372.0930232557,-988372.0930232557,988372.0930232557,0,1,1,0
267,2022,Senators,Jets,1,1,474554.5868789125,988372.0930232557,-513817.5061443432,513817.5061443432,0,1,1,0
268,2022,Senators,Bruins,1,2,280212.2576152075,1197009.7854529507,-916797.5278377433,916797.5278377433,0,1,1,1
269,2022,Ducks,Maple Leafs,1,1,1344703.6273301991,988372.0930232557,356331.5343069434,356331.5343069434,0,1,1,0
270,2022,Rangers,Avalanche,1,3,0.0,2785684.523034454,-2785684.523034454,2785684.523034454,0,1,3,0
271,2022,Penguins,Liam Gorman to Blackhawks,0,1,0.0,664605.9207996923,-664605.9207996923,664605.9207996923,0,0,1,0
272,2022,Lightning,Red Wings,1,1,-63260.24763341384,664605.9207996923,-727866.1684331062,727866.1684331062,0,1,1,0
273,2022,Hurricanes,Ducks,1,2,1346935.8503985982,563696.7686709483,783239.0817276499,783239.0817276499,0,1,1,1
274,2022,Blackhawks,Blue Jackets,3,3,3121349.203461712,244037.16867517924,2877312.034786533,2877312.034786533,2,1,2,1
275,2022,Ducks,Predators,1,2,0.0,-410868.252754107,410868.252754107,410868.252754107,0,1,1,1
276,2022,Blue Jackets,Maple Leafs,1,0,1362951.863271348,0.0,1362951.863271348,1362951.863271348,0,1,0,0
277,2022,Panthers,Flames,2,2,1546195.2164316922,601210.0289209622,944985.18751073,944985.18751073,1,1,1,1
