season,team,GP,roster_EV_O,roster_EV_D,roster_PP,roster_PK,roster_PEN,goalie_GA_G,team_strength,actual_GD,actual_wins,win_pct
2016,EDM,81,0.0017833284760264553,0.0006356046103510795,0.3452014518589313,-0.11836980625041398,0.0017970341995634377,0.08091111111111111,0.12437530864197532,-29,38,0.4691358024691358
2016,STL,82,0.0008652308061898622,0.0004058214712950415,0.12706385112478488,0.19814398138850248,-0.0016811001035290422,-0.06480975609756097,0.12118414634146342,-8,38,0.4634146341463415
2016,NSH,82,0.0011794172734182942,0.0006307224074103053,0.03260747810084997,0.23262102031807508,-4.1101407051743364e-05,-0.056171951219512205,0.09671585365853658,14,43,0.524390243902439
2016,TOR,82,0.0012412377712332004,-0.0004975326844693421,0.33533495221766807,-0.10273254454771928,0.0005276490645892586,0.058626829268292685,0.09121463414634147,-18,37,0.45121951219512196
2016,NYR,81,0.0014731479961523494,0.0008187244562927005,0.09422027205162312,0.08972648271581599,0.0018420939889263743,0.06549135802469136,0.08823827160493826,-27,37,0.4567901234567901
2016,LAK,82,0.0007146879427028264,0.0012997681978320242,0.0644934501928821,0.11600932473333544,-0.001003563091755678,-0.024939024390243907,0.0624609756097561,2,38,0.4634146341463415
2016,MIN,82,0.0020364154558119556,0.0008495568320288177,0.08065555362705709,-0.04726422310467538,0.0035605671581735118,0.0236,0.04951829268292683,20,43,0.524390243902439
2016,OTT,82,0.0004797853006713193,0.0007107226730954131,-0.06909328792776041,0.1460097085721005,-0.0002571662805360546,-0.016163414634146358,0.027845121951219513,-14,34,0.4146341463414634
2016,FLA,81,0.0017168864362210488,-0.00012521379776234758,0.018655239747465073,0.02540606500282675,-0.0009168004197200374,0.06168024691358024,0.01307901234567901,33,46,0.5679012345679012
2016,DAL,82,0.0008146244624305406,0.0005505266816545702,0.23420564296935445,-0.3194101112017327,0.0005674210523969023,0.010345121951219519,0.01027317073170732,-16,36,0.43902439024390244
2016,NYI,82,0.0010049680732306938,0.0004477770385362466,-0.0008456259971946225,0.032467607365962846,0.00019979473088424055,0.11599512195121951,0.010198780487804877,5,41,0.5
2016,BUF,82,0.0010945972069461274,-0.00024298939802466318,0.2770733575653,-0.36805684927515564,0.0030695582639181413,0.2263292682926829,0.0013353658536585354,-25,39,0.47560975609756095
2016,SJS,81,0.00038515693521821043,0.002471451009021667,-0.05075047294525595,-0.030335710001362686,0.001415838662378895,0.002481481481481486,-0.01746172839506173,-27,39,0.48148148148148145
2016,CHI,82,0.000670227545591553,0.0006162738447843264,0.017651351624343843,-0.1518064680799168,0.0017014824704274748,0.09041829268292682,-0.01883170731707317,28,44,0.5365853658536586
2016,NJD,82,0.0011673148895554961,-4.1187464938131374e-05,-0.03725519191017612,-0.01686932078241314,-0.00018779404891838293,-0.08569024390243901,-0.02461463414634146,-31,38,0.4634146341463415
2016,CGY,82,0.0007739637845833694,0.0008190154388525518,0.10682616100476333,-0.26368290446532955,-0.0008296063587324592,-0.09154146341463415,-0.03197560975609756,-16,39,0.47560975609756095
2016,MTL,82,0.0005252807933775114,0.0007149902879484359,-0.07098383720594956,-0.045538786919118696,-0.0021955606943625315,0.04241219512195122,-0.04492560975609756,11,50,0.6097560975609756
2016,DET,82,0.0008979581522232899,-0.00024174512747943908,-0.287005207798841,0.04290735251084613,0.0008292381511553612,0.03136097560975611,-0.09806463414634146,28,46,0.5609756097560976
2016,VAN,82,0.00030099997377673523,-0.0004656273391017891,-0.30818943852172326,-0.06849095853703115,0.0018656532691964814,-0.11524756097560976,-0.13853658536585364,13,46,0.5609756097560976
2016,WPG,82,0.0014210549949076516,0.00020223084461506503,-0.029469748201466844,-0.397108438347212,-0.0006096513927934665,0.21562195121951222,-0.14354268292682926,14,42,0.5121951219512195
2016,COL,81,0.0006410353894330678,-0.0007565340812748798,-0.1922806429406057,-0.24013154309627455,0.0006858028073585848,-0.035140740740740736,-0.14896049382716048,20,41,0.5061728395061729
2016,ARI,80,0.0003728527435959885,-0.0008115483455017572,-0.1965183634459593,-0.23008290765168202,-0.0013730911863982123,-0.024302499999999998,-0.154215,-23,39,0.4875
2017,BOS,79,0.0015117376200234837,0.0009940296754556552,0.33479244580411366,0.3522267682338908,-0.0005384520496808428,-0.18483797468354432,0.2546936708860759,-8,44,0.5569620253164557
2017,WSH,80,0.0017606890152867063,0.0009079927195537416,0.3398684890733827,0.26458815619229054,-0.0013668062973356924,-0.041378750000000006,0.23587875,8,42,0.525
2017,TBL,79,0.0021045586471864415,0.00015707314878808039,0.41828021867130866,0.10230893404292608,0.0006647910634741882,0.1832417721518987,0.23154177215189872,15,42,0.5316455696202531
2017,TOR,80,0.0018262366584043388,-0.0003139874730142254,0.6181907133837213,-0.04501212354549763,0.0010667334986753144,-0.11116999999999999,0.19664874999999998,17,42,0.525
2017,PIT,80,0.003155017308396009,-0.000206951615838378,0.33722962809366763,0.18203804266662815,-0.00012548996788737512,0.04820874999999999,0.1961375,-19,42,0.525
2017,CAR,80,0.0025004364472787956,0.001243243653176343,0.18088033908264017,0.2853258178517304,0.0041273741059800135,0.024307499999999992,0.18401499999999998,-20,36,0.45
2017,MIN,79,0.003006592700383482,0.0006002410855368371,0.15745677179110043,0.245604362804356,0.0004238960252054075,0.00439493670886076,0.16709493670886075,-10,37,0.46835443037974683
2017,PHI,80,0.0014234094306663806,0.0005932870825760285,0.16835040080393643,0.15666805442282072,0.00235708162036909,0.05477875,0.12799375,-20,34,0.425
2017,STL,79,0.0016114994552460663,0.001268559848314926,-0.01327858219675921,0.27910838739808763,0.0011742083535597788,-0.07114177215189872,0.10027848101265822,54,48,0.6075949367088608
2017,ANA,79,0.0015285414031122597,0.0013120198484711317,0.010297492161495437,0.26933912103200897,-0.004559755112026847,0.16381518987341773,0.09599493670886075,10,43,0.5443037974683544
2017,NYI,80,0.0019407435452609896,-0.00043872952800114043,0.07363199294877809,0.05373216564974055,0.0020023200657108163,0.16828,0.05815374999999999,10,38,0.475
2017,VAN,79,0.0008488969617843398,-0.0008016808706528551,0.060830596958106546,0.0948830834578225,0.00028598406362821666,0.016499999999999997,0.05068101265822785,-19,36,0.45569620253164556
2017,NYR,80,0.001848523900202002,0.00044087023701012236,-0.020237855412268378,0.05994442598500319,0.0014508816500218278,0.11992875,0.03398875,9,44,0.55
