player_id,xGF_O,xGF_D,xGF_net,xGF_O_se,xGF_D_se,GF_O,GF_D,GF_net,GF_O_se,GF_D_se,SOG_O,SOG_D,SOG_net,SOG_O_se,SOG_D_se,TO_O,TO_D,TO_net,TO_O_se,TO_D_se,GA_O,GA_D,GA_net,GA_O_se,GA_D_se,BPR_O,BPR_D,BPR,BPR_O_se,BPR_D_se,BPR_se,player_name,position,prior_O,prior_D,toi_5v5,toi_pp,toi_pk,PP_O,PK_D,PP_BPR,rapm_shift_O,rapm_shift_D,rapm_weight,total_BPR,pp_toi_frac,pk_toi_frac,total_BPR_adj
8475153,0.0135,-0.0162,0.0298,0.0698,0.0727,0.0072,-0.0177,0.0249,0.022,0.0232,0.0155,-0.0152,0.0307,0.0323,0.034,-0.0089,0.0018,-0.0107,0.0088,0.0093,-0.0676,0.0648,-0.1325,0.0059,0.0062,0.0134,-0.0166,-0.0032,0.0358,0.0373,0.0517,Dylan.Olsen,D,0.0267,-0.0314,1617.4,35.4,154.2,,,,-0.0133,0.0148,0.0,-0.0032,0.02,0.085,-0.0032
8482147,0.0002,-0.0001,0.0003,0.0728,0.0768,0.0003,-0.0069,0.0072,0.022,0.0232,0.0039,-0.0019,0.0058,0.0323,0.0341,0.001,-0.0127,0.0137,0.0088,0.0093,-0.0019,0.0525,-0.0544,0.0059,0.0062,0.0011,-0.0044,-0.0032,0.0372,0.0393,0.0541,Jean.Luc.Foudy,F,0.0,0.0,107.8,6.8,0.0,,,,0.0011,-0.0044,0.0,-0.0032,0.059,0.0,-0.0032
8484203,0.0003,-0.0005,0.0008,0.0727,0.0768,0.0088,-0.0362,0.045,0.022,0.0232,-0.0058,0.0019,-0.0077,0.0323,0.0341,0.0025,0.0217,-0.0192,0.0088,0.0093,0.0032,-0.0099,0.0132,0.0059,0.0062,0.0002,-0.0036,-0.0033,0.0372,0.0393,0.0541,,F,0.0,0.0,118.3,14.5,0.2,,,,0.0002,-0.0036,0.0,-0.0033,0.109,0.002,-0.0033
8479249,-0.0002,-0.0002,-0.0001,0.0731,0.0769,-0.0094,0.0026,-0.012,0.022,0.0232,-0.0007,-0.0014,0.0008,0.0323,0.0341,-0.0049,0.0029,-0.0078,0.0088,0.0093,0.0218,0.0159,0.0058,0.0059,0.0062,-0.0028,-0.0005,-0.0033,0.0374,0.0393,0.0543,Andrew.Poturalski,F,0.0,0.0,92.6,7.4,0.0,,,,-0.0028,-0.0005,0.0,-0.0033,0.074,0.0,-0.0033
8481712,-0.0002,-0.0005,0.0003,0.073,0.077,-0.0148,-0.0019,-0.0129,0.022,0.0232,0.0004,-0.0053,0.0057,0.0323,0.0341,0.0131,0.0171,-0.004,0.0088,0.0093,0.0027,0.028,-0.0253,0.0059,0.0062,-0.0016,-0.0018,-0.0033,0.0373,0.0394,0.0543,Matej.Blumel,F,0.0,0.0,152.3,7.4,0.0,,,,-0.0016,-0.0018,0.0,-0.0033,0.046,0.0,-0.0033
8476302,0.0132,-0.0052,0.0184,0.0697,0.0731,-0.0498,-0.0195,-0.0304,0.022,0.0232,0.0026,-0.0037,0.0063,0.0323,0.034,0.0224,-0.0293,0.0516,0.0088,0.0093,-0.0937,0.0011,-0.0948,0.0059,0.0062,0.0048,-0.0081,-0.0033,0.0357,0.0375,0.0518,Frank.Corrado,D,0.0283,-0.009,969.8000000000001,32.400000000000006,38.6,-0.0667,0.0665,-0.0002,-0.0235,0.0009,0.0,-0.0027,0.031,0.037,-0.0039
8475158,0.0078,0.0716,-0.0638,0.0418,0.0425,0.1165,0.0328,0.0837,0.0217,0.0229,-0.6326,0.1072,-0.7397,0.0322,0.034,0.7482,-0.6197,1.3678,0.0088,0.0093,0.2271,-1.288,1.5152,0.0059,0.0062,-0.082,0.0786,-0.0033,0.0223,0.0228,0.0319,Ryan.O'Reilly,F,0.0447,0.0245,17460.6,2899.0,2053.6,0.4655,-0.0759,0.3896,-0.1267,0.0541,0.579,0.0507,0.129,0.092,0.032
8481640,-0.0003,-0.0004,0.0001,0.0729,0.0768,-0.0083,-0.01,0.0017,0.022,0.0232,-0.0021,-0.003,0.0009,0.0323,0.0341,0.0103,0.0098,0.0005,0.0088,0.0093,-0.0017,0.0087,-0.0105,0.0059,0.0062,-0.0012,-0.0021,-0.0033,0.0373,0.0393,0.0542,Lean.Bergmann,F,0.0,0.0,106.89999999999999,0.4,0.6,,,,-0.0012,-0.0021,0.0,-0.0033,0.004,0.006,-0.0033
8484509,0.0002,-0.0009,0.001,0.0727,0.0764,0.052,-0.0808,0.1328,0.022,0.0232,0.0033,-0.0045,0.0078,0.0323,0.0341,-0.008,-0.0037,-0.0043,0.0088,0.0093,-0.0256,-0.0305,0.0049,0.0059,0.0062,0.0092,-0.0126,-0.0034,0.0372,0.0391,0.054,,?,0.0,0.0,91.4,0.0,0.5,,,,0.0092,-0.0126,0.0,-0.0034,0.0,0.005,-0.0034
8482781,-0.0002,-0.0004,0.0002,0.0733,0.0773,-0.0054,0.0065,-0.0119,0.022,0.0232,-0.0032,-0.0056,0.0024,0.0323,0.0341,-0.005,0.0085,-0.0134,0.0088,0.0093,0.0101,0.0284,-0.0183,0.0059,0.0062,-0.0023,-0.0011,-0.0034,0.0375,0.0395,0.0545,,?,0.0,0.0,9.0,0.0,1.2,,,,-0.0023,-0.0011,0.0,-0.0034,0.0,0.118,-0.0034
