goalie_id,goalie_name,season,shots_faced,goals_against,xGA,sv_pct,GSAx,GSAx_adj,GOALIE_GAR,GOALIE_WAR
8477293,Antti.Raanta,2020,951,80,60.76395899,0.9158780231335436,-19.23604101,0.03522645052016671,4.28,0.71
8468685,Henrik.Lundqvist,2020,712,60,46.32099524,0.9157303370786517,-13.679004759999998,0.7491155679604233,3.93,0.66
8479496,David.Rittich,2020,1303,117,88.72890616,0.9102072141212586,-28.271093840000006,-1.8668230712746876,3.95,0.66
8478499,Adin.Hill,2020,300,25,20.67421856,0.9166666666666666,-4.32578144,1.753482743129391,3.09,0.52
8475156,Mikko.Koskinen,2020,961,83,61.35475555,0.9136316337148803,-21.64524445,-2.171334850042186,2.12,0.35
8470594,Marc.Andre.Fleury,2020,1114,109,83.24117708,0.9021543985637342,-25.75882292,-3.1844885866461965,1.79,0.3
8478039,Kaapo.Kahkonen,2020,139,10,7.920613250000001,0.9280575539568345,-2.0793867499999994,0.7373389881832848,1.36,0.23
8479979,Jake.Oettinger,2020,8,0,1.0379220400000002,1.0,1.0379220400000002,1.2000357515501172,1.24,0.21
8468011,Ryan.Miller,2020,472,43,32.37707964,0.9088983050847458,-10.622920360000002,-1.0582113785430938,1.05,0.18
8479312,Alex.Lyon,2020,73,8,7.24137169,0.8904109589041096,-0.7586283099999998,0.7206593078948187,1.05,0.18
8480051,Cayden.Primeau,2020,72,5,4.19572033,0.9305555555555556,-0.8042796699999997,0.654743733951054,0.98,0.16
8478492,Ilya.Samsonov,2020,548,49,36.3314798,0.9105839416058394,-12.668520200000003,-1.5637309588169828,0.88,0.15
8478007,Elvis.Merzlikins,2020,771,64,45.80392458,0.9169909208819714,-18.19607542,-2.5723664693574655,0.87,0.14
8477405,Marcus.Hogberg,2020,653,60,44.64175242,0.9081163859111792,-15.358247579999997,-2.12571587472169,0.79,0.13
8480213,Gilles.Senn,2020,38,3,2.72430013,0.9210526315789473,-0.27569986999999996,0.4943402598630562,0.66,0.11
8471306,Thomas.Greiss,2020,721,61,43.35596082,0.9153952843273232,-17.64403918,-3.0335409265456974,0.19,0.03
8476876,Malcolm.Subban,2020,470,48,36.57837215,0.8978723404255319,-11.42162785,-1.897447296430622,0.2,0.03
8475883,Frederik.Andersen,2020,1415,124,88.91312138,0.9123674911660777,-35.08687861999999,-6.413015889573035,-0.09,-0.02
8479530,Adam.Werner,2020,58,5,3.41865434,0.9137931034482759,-1.5813456600000002,-0.40602125126165145,-0.15,-0.02
8477480,Eric.Comrie,2020,36,4,2.9268942,0.8888888888888888,-1.0731058,-0.34359409802447316,-0.18,-0.03
8480022,Michael.Dipietro,2020,7,1,0.4663323,0.8571428571428571,-0.5336677000000001,-0.3918182023936476,-0.36,-0.06
8477312,Antoine.Bibeau,2020,42,5,3.07214686,0.8809523809523809,-1.9278531399999999,-1.076756154361885,-0.89,-0.15
8476341,Anton.Forsberg,2020,78,8,5.04354268,0.8974358974358975,-2.95645732,-1.3758486323863586,-1.03,-0.17
8479188,David.Ayres,2020,10,2,0.65233,0.8,-1.34767,-1.1450278605623536,-1.1,-0.18
8477968,Alex.Nedeljkovic,2020,96,11,7.2622829,0.8854166666666666,-3.7377171000000002,-1.7923525613985953,-1.36,-0.23
8479292,Charlie.Lindgren,2020,147,17,11.94469934,0.8843537414965986,-5.05530066,-2.076461210266599,-1.42,-0.24
8477992,Jonas.Johansson,2020,150,16,10.67634294,0.8933333333333333,-5.32365706,-2.284024968435305,-1.61,-0.27
8477424,Juuse.Saros,2020,1096,102,73.21030557,0.906934306569343,-28.789694429999997,-6.580115947633956,-1.69,-0.28
8478435,Dan.Vladar,2020,15,3,0.73665616,0.8,-2.26334384,-1.9593806308435306,-1.89,-0.32
8471469,Pekka.Rinne,2020,850,82,58.8952079,0.9035294117647059,-23.104792099999997,-5.880210247800058,-2.08,-0.35
8480162,Matiss.Kivlenieks,2020,137,14,8.39242211,0.8978102189781022,-5.60757789,-2.831380579704245,-2.22,-0.37
8475789,Jack.Campbell,2020,643,62,43.74333351,0.9035769828926905,-18.25666649,-5.22677692415934,-2.36,-0.39
8476316,Laurent.Brossoit,2020,458,52,38.13138016,0.8864628820960698,-13.868619840000001,-4.587609853755797,-2.54,-0.42
8479288,Kasimir.Kaskisuo,2020,38,6,2.33883713,0.8421052631578947,-3.66116287,-2.891122740136944,-2.72,-0.45
8476861,Oscar.Dansk,2020,37,6,2.02759977,0.8378378378378378,-3.97240023,-3.2226243140807083,-3.06,-0.51
8469608,Mike.Smith,2020,918,92,65.99303004,0.8997821350762527,-26.006969960000006,-7.404421559624073,-3.31,-0.55
8471774,Alex.Stalock,2020,1173,106,73.72060251,0.9096334185848253,-32.279397489999994,-8.509474533964077,-3.27,-0.55
8467950,Craig.Anderson,2020,857,85,59.93280236,0.9008168028004667,-25.067197640000003,-7.700766290193712,-3.87,-0.64
8475622,Carter.Hutton,2020,852,86,60.20303748,0.8990610328638498,-25.79696252,-8.531852239912531,-4.73,-0.79
8471734,Jonathan.Quick,2020,994,95,65.45251114,0.9044265593561368,-29.54748886,-9.404860199897954,-4.97,-0.83
8470880,Brian.Elliott,2020,737,76,52.0567406,0.8968792401628223,-23.943259400000002,-9.008533723445465,-5.72,-0.95
8476899,Matt.Murray,2020,1076,104,71.56763628,0.9033457249070632,-32.43236372,-10.62806951650925,-5.82,-0.97
8475717,Calvin.Pickard,2020,75,15,6.59514154,0.8,-8.40485846,-6.8850424142176525,-6.55,-1.09
8476234,Keith.Kinkaid,2020,192,24,12.17915021,0.875,-11.82084979,-7.930120712797191,-7.07,-1.18
8471239,Cory.Schneider,2020,293,37,22.33586258,0.8737201365187713,-14.66413742,-8.726722734476962,-7.42,-1.24
8478470,Sam.Montembeault,2020,298,34,18.31309802,0.8859060402684564,-15.686901979999998,-9.648166224758137,-8.32,-1.39
8474651,Braden.Holtby,2020,1293,130,89.07784115,0.8994586233565351,-40.92215885,-14.72053022071233,-8.95,-1.49
8476434,John.Gibson,2020,1305,125,83.69456777,0.9042145593869731,-41.305432229999994,-14.860633033387145,-9.03,-1.5
8475839,Louis.Domingue,2020,373,46,26.22937247,0.8766756032171582,-19.77062753,-12.21207572897579,-10.55,-1.76
8474889,Martin.Jones,2020,782,81,50.77638298,0.8964194373401535,-30.22361702,-14.377001715976053,-10.89,-1.82
8475683,Sergei.Bobrovsky,2020,1226,127,85.55673593,0.8964110929853181,-41.44326407,-16.599337774944555,-11.13,-1.86
8471227,Devan.Dubnyk,2020,788,88,53.47840902,0.8883248730964467,-34.52159098,-18.553390392313467,-15.03,-2.5
8470657,Jimmy.Howard,2020,706,89,49.24237594,0.8739376770538244,-39.75762406,-25.451089015702166,-22.3,-3.72
8476883,Andrei.Vasilevskiy,2021,1910,137,142.71473209,0.9282722513089006,5.7147320900000125,48.11919986112103,56.65,9.44
8470594,Marc.Andre.Fleury,2021,1393,104,102.98756103,0.9253409906676239,-1.0124389700000052,29.913960823283546,36.13,6.02
8476945,Connor.Hellebuyck,2021,1623,132,122.90340131,0.9186691312384473,-9.096598689999993,26.93609826943949,34.18,5.7
8477424,Juuse.Saros,2021,1300,95,88.73107203,0.926923076923077,-6.268927969999993,22.592751664794417,28.4,4.73
8469608,Mike.Smith,2021,1055,82,74.01799106,0.9222748815165877,-7.98200894,15.440354148237002,20.15,3.36
8473575,Semyon.Varlamov,2021,1430,106,86.70926173,0.9258741258741259,-19.290738270000006,12.457109328273848,18.84,3.14
8477968,Alex.Nedeljkovic,2021,923,65,58.74712463,0.9295774647887324,-6.252875369999998,14.238917170704035,18.36,3.06
8471679,Carey.Price,2021,1330,115,96.97035992,0.9135338345864662,-18.029640079999993,11.498078315597365,17.44,2.91
8477967,Thatcher.Demko,2021,1164,99,84.45946615,0.9149484536082474,-14.540533850000003,11.301770069154376,16.5,2.75
8475789,Jack.Campbell,2021,783,59,54.209596239999996,0.9246487867177522,-4.790403760000004,12.593207896956937,16.09,2.68
8471695,Tuukka.Rask,2021,943,79,67.29012443,0.9162248144220573,-11.709875569999994,9.225942811239335,13.44,2.24
8475831,Philipp.Grubauer,2021,1264,101,79.94450609,0.9200949367088608,-21.055493909999996,7.006939211830879,12.65,2.11
8473541,Jonathan.Bernier,2021,755,63,54.88660179,0.9165562913907285,-8.11339821,8.648577270207525,12.02,2.0
8478048,Igor.Shesterkin,2021,987,83,66.87784547,0.9159067882472138,-16.122154530000003,5.790520700416984,10.2,1.7
8475660,Cam.Talbot,2021,1231,103,79.33599841,0.9163281884646629,-23.664001589999998,3.6657888949476316,9.16,1.53
8477361,Calvin.Petersen,2021,1008,88,69.4716719,0.9126984126984127,-18.528328099999996,3.8505742629790554,8.35,1.39
8478009,Ilya.Sorokin,2021,793,64,50.80726053,0.9192938209331651,-13.19273947,4.412885107224593,7.95,1.32
8478007,Elvis.Merzlikins,2021,827,69,54.70317159,0.9165659008464329,-14.296828410000003,4.063640096134595,7.76,1.29
8479193,Casey.Desmith,2021,543,48,41.24337218,0.9116022099447514,-6.7566278199999985,5.298673750533359,7.72,1.29
8475852,Petr.Mrazek,2021,361,31,28.79290041,0.9141274238227147,-2.2070995899999986,5.807566831662141,7.42,1.24
8480280,Jeremy.Swayman,2021,274,16,15.8291857,0.9416058394160584,-0.17081429999999997,5.912339715333591,7.14,1.19
8474596,Jake.Allen,2021,818,76,60.437776559999996,0.9070904645476773,-15.562223440000004,2.5984334378937106,6.25,1.04
8476412,Jordan.Binnington,2021,1335,122,91.9331025,0.9086142322097378,-30.066897499999996,-0.4281726442688125,5.53,0.92
8478499,Adin.Hill,2021,530,46,37.32295148,0.9132075471698113,-8.67704852,3.0896362541854145,5.46,0.91
8475311,Darcy.Kuemper,2021,713,66,52.20181496,0.9074333800841514,-13.79818504,2.0313361750833963,5.21,0.87
8475215,Robin.Lehner,2021,602,55,44.00876573,0.9086378737541528,-10.99123427,2.3739435301124896,5.06,0.84
8476904,Chris.Driedger,2021,684,55,41.52897562,0.9195906432748538,-13.471024380000003,1.7146593663072096,4.77,0.8
8479979,Jake.Oettinger,2021,708,61,46.29916501,0.9138418079096046,-14.700834989999997,1.017679764949575,4.18,0.7
8474593,Jacob.Markstrom,2021,1151,108,81.36398092,0.9061685490877498,-26.636019079999997,-1.08233195719356,4.06,0.68
8476316,Laurent.Brossoit,2021,369,30,24.2414172,0.9186991869918699,-5.758582799999999,2.43369395787626,4.08,0.68
8478406,Mackenzie.Blackwood,2021,1082,106,80.99864767,0.9020332717190388,-25.001352330000003,-0.979554357040346,3.85,0.64
8479406,Filip.Gustavsson,2021,254,17,14.04287355,0.9330708661417323,-2.9571264500000005,2.682001724798292,3.82,0.64
8481519,Spencer.Knight,2021,152,12,11.18095184,0.9210526315789473,-0.8190481599999995,2.55554822806827,3.23,0.54
