player_id,season,xGF_O,xGF_D,xGF_net,xGF_O_se,xGF_D_se,GF_O,GF_D,GF_net,GF_O_se,GF_D_se,SOG_O,SOG_D,SOG_net,SOG_O_se,SOG_D_se,TO_O,TO_D,TO_net,TO_O_se,TO_D_se,GA_O,GA_D,GA_net,GA_O_se,GA_D_se,BPR_O,BPR_D,BPR,BPR_O_se,BPR_D_se,BPR_se,player_name,position,prior_O,prior_D
8475181,2015,0.0077,0.2665,-0.2588,0.0637,0.0676,-0.4152,0.2395,-0.6547,0.022,0.0232,-0.1009,3.4266,-3.5275,0.0323,0.034,-0.1314,-1.9823,1.8509,0.0088,0.0093,-1.8161,-0.4936,-1.3225,0.0059,0.0062,-0.0159,0.8238,0.808,0.0328,0.0348,0.0478,Nick.Leddy,D,0.0476,-0.0361
8470638,2015,0.2425,0.3065,-0.064,0.0662,0.0705,-0.0572,-0.0902,0.033,0.022,0.0232,0.8843,0.6602,0.2241,0.0323,0.034,-0.0051,0.133,-0.1382,0.0088,0.0093,-3.4629,-1.4836,-1.9793,0.0059,0.0062,0.4454,0.3523,0.7977,0.034,0.0362,0.0497,Patrice.Bergeron,F,0.1005,0.0645
8470852,2015,0.5192,-0.0899,0.6091,0.0682,0.0698,1.8622,-0.0562,1.9184,0.022,0.0232,1.1433,0.092,1.0513,0.0323,0.034,-0.7162,0.826,-1.5422,0.0088,0.0093,-0.1205,-0.7018,0.5814,0.0059,0.0062,0.7523,0.0445,0.7968,0.035,0.0359,0.0501,Matt.Moulson,F,0.031,-0.0404
8468504,2015,0.0594,-0.0804,0.1398,0.0677,0.071,0.9185,0.2565,0.662,0.022,0.0232,0.392,1.4889,-1.0968,0.0323,0.034,0.538,1.4113,-0.8732,0.0088,0.0093,0.4134,-2.5645,2.9778,0.0059,0.0062,0.2695,0.5131,0.7825,0.0347,0.0365,0.0504,Brad.Boyes,F,0.0614,-0.0038
8471716,2015,0.0472,0.2523,-0.2051,0.0676,0.0718,0.9403,0.1693,0.771,0.022,0.0232,0.4381,1.2593,-0.8212,0.0323,0.034,0.7917,-1.4279,2.2195,0.0088,0.0093,-0.2343,-2.5951,2.3608,0.0059,0.0062,0.3179,0.4467,0.7646,0.0347,0.0368,0.0506,Justin.Abdelkader,F,0.0235,-0.0482
8473673,2015,-0.0395,0.134,-0.1736,0.0686,0.0718,0.7818,0.3917,0.39,0.022,0.0232,-0.4366,2.3159,-2.7525,0.0323,0.034,0.4983,-0.5861,1.0844,0.0088,0.0093,-2.262,-0.6506,-1.6114,0.0059,0.0062,0.1218,0.6261,0.748,0.0352,0.0368,0.0509,David.Schlemko,D,0.0458,-0.0434
8476880,2015,0.0502,0.2232,-0.173,0.0682,0.0714,-0.4722,0.5061,-0.9784,0.022,0.0232,-0.0724,2.1108,-2.1832,0.0323,0.034,-0.4757,0.1428,-0.6185,0.0088,0.0093,-1.7124,-2.6501,0.9377,0.0059,0.0062,-0.0217,0.7665,0.7448,0.035,0.0366,0.0507,Tom.Wilson,F,0.0096,-0.0008
8474612,2015,0.2577,0.023,0.2347,0.0648,0.0679,-0.0424,0.6275,-0.6699,0.022,0.0232,1.872,-0.131,2.003,0.0323,0.034,-0.9682,1.6343,-2.6025,0.0088,0.0093,-1.1536,-0.6928,-0.4608,0.0059,0.0062,0.5224,0.2026,0.725,0.0333,0.0349,0.0483,Travis.Hamonic,D,0.0422,0.0242
8476470,2015,0.0208,0.185,-0.1642,0.0683,0.0713,0.1329,0.414,-0.2811,0.022,0.0232,1.5426,1.2543,0.2883,0.0323,0.034,-1.0018,-0.0411,-0.9607,0.0088,0.0093,1.8905,-1.5442,3.4347,0.0059,0.0062,0.234,0.4898,0.7238,0.035,0.0366,0.0507,Nathan.Beaulieu,D,0.0406,0.0312
8474600,2015,-0.0077,0.4374,-0.4451,0.0632,0.0657,1.1487,-0.2643,1.413,0.022,0.0232,1.0201,1.2184,-0.1983,0.0323,0.034,0.8843,-1.1262,2.0105,0.0088,0.0093,1.2953,1.3272,-0.0319,0.0059,0.0062,0.3941,0.3264,0.7206,0.0326,0.0339,0.047,Roman.Josi,D,0.0871,0.0195
